"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-07",99.84441,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-08",99.93693,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-09",100.0347,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-10",100.1554,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-11",100.3074,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2012-12",100.4759,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-01",100.6379,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-02",100.773,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-03",100.8917,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-04",100.9898,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-05",101.0836,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-06",101.175,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-07",101.2595,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-08",101.3126,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-09",101.323,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-10",101.2951,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-11",101.2342,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2013-12",101.132,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-01",100.9896,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-02",100.8321,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-03",100.6786,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-04",100.5323,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-05",100.4081,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-06",100.3098,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2014-07",100.2394,
